sample_fp	plate	well	round	channel
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellA1_ChannelA594_1x1_Seq0001.nd2	1	A1	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellA1_ChannelAF750_1x1_Seq0000.nd2	1	A1	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellA1_ChannelDAPI_1x1-GFP_1x1_Seq0012.nd2	1	A1	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellA2_ChannelA594_1x1_Seq0003.nd2	1	A2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellA2_ChannelAF750_1x1_Seq0002.nd2	1	A2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellA2_ChannelDAPI_1x1-GFP_1x1_Seq0013.nd2	1	A2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellA3_ChannelA594_1x1_Seq0005.nd2	1	A3	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellA3_ChannelAF750_1x1_Seq0004.nd2	1	A3	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellA3_ChannelDAPI_1x1-GFP_1x1_Seq0014.nd2	1	A3	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellB1_ChannelA594_1x1_Seq0011.nd2	1	B1	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_1/round_1/20200205_173225_166/WellB1_ChannelAF750_1x1_Seq0010.nd2	1	B1	1	AF750_1x1
