sample_fp	plate	well	cycle	channel
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c1/20200218_141421_172/WellA1_ChannelDAPI-CY3_30p_545-A594_30p-CY5_30p-CY7_30p_Seq0000.nd2	1	A1	1	DAPI-CY3_30p_545-A594_30p-CY5_30p-CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c2/20200224_101922_191/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	2	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c2/20200224_101922_191/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	2	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c2/20200224_101922_191/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	2	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c2/20200224_101922_191/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	2	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c3/20200225_104313_901/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	3	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c3/20200225_104313_901/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	3	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c3/20200225_104313_901/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	3	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c3/20200225_104313_901/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	3	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c4/20200226_121850_736/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	4	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c4/20200226_121850_736/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	4	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c4/20200226_121850_736/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	4	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c4/20200226_121850_736/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	4	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c5/20200227_155742_611/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	5	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c5/20200227_155742_611/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	5	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c5/20200227_155742_611/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	5	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c5/20200227_155742_611/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	5	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	6	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	6	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	6	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	6	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	7	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	7	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	7	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	7	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c8/20200303_154249_812/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	8	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c8/20200303_154249_812/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	8	CY3_30p_545
